✅ Pushed at 2025-08-31 11:44:03: {'zone1': {'temperature': 14.22, 'humidity': 60.54, 'timestamp': '2025-08-31 11:44:03', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.1, 'humidity': 52.28, 'timestamp': '2025-08-31 11:44:03', 'status': 'Within Range'}, 'zone3': {'temperature': 4.74, 'humidity': 85.89, 'timestamp': '2025-08-31 11:44:03', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.7, 'humidity': 66.16, 'timestamp': '2025-08-31 11:44:03', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:08: {'zone1': {'temperature': 13.86, 'humidity': 60.52, 'timestamp': '2025-08-31 11:44:08', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.1, 'humidity': 52.51, 'timestamp': '2025-08-31 11:44:08', 'status': 'Within Range'}, 'zone3': {'temperature': 4.37, 'humidity': 86.71, 'timestamp': '2025-08-31 11:44:08', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.56, 'humidity': 66.08, 'timestamp': '2025-08-31 11:44:08', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:13: {'zone1': {'temperature': 14.59, 'humidity': 59.53, 'timestamp': '2025-08-31 11:44:13', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.85, 'humidity': 53.1, 'timestamp': '2025-08-31 11:44:13', 'status': 'Within Range'}, 'zone3': {'temperature': 3.95, 'humidity': 85.86, 'timestamp': '2025-08-31 11:44:13', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 9.07, 'humidity': 65.88, 'timestamp': '2025-08-31 11:44:13', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:18: {'zone1': {'temperature': 14.77, 'humidity': 59.36, 'timestamp': '2025-08-31 11:44:18', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 3.48, 'humidity': 52.85, 'timestamp': '2025-08-31 11:44:18', 'status': 'Within Range'}, 'zone3': {'temperature': 3.77, 'humidity': 86.29, 'timestamp': '2025-08-31 11:44:18', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 9.47, 'humidity': 66.42, 'timestamp': '2025-08-31 11:44:18', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:23: {'zone1': {'temperature': 14.94, 'humidity': 59.11, 'timestamp': '2025-08-31 11:44:23', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 3.79, 'humidity': 52.17, 'timestamp': '2025-08-31 11:44:23', 'status': 'Within Range'}, 'zone3': {'temperature': 3.87, 'humidity': 85.8, 'timestamp': '2025-08-31 11:44:23', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.49, 'humidity': 66.61, 'timestamp': '2025-08-31 11:44:23', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:29: {'zone1': {'temperature': 15, 'humidity': 59.41, 'timestamp': '2025-08-31 11:44:29', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 3.33, 'humidity': 52.95, 'timestamp': '2025-08-31 11:44:29', 'status': 'Within Range'}, 'zone3': {'temperature': 3.82, 'humidity': 85.37, 'timestamp': '2025-08-31 11:44:29', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.8, 'humidity': 67.1, 'timestamp': '2025-08-31 11:44:29', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:34: {'zone1': {'temperature': 14.24, 'humidity': 59.27, 'timestamp': '2025-08-31 11:44:34', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 4.23, 'humidity': 52.04, 'timestamp': '2025-08-31 11:44:34', 'status': 'Within Range'}, 'zone3': {'temperature': 3.74, 'humidity': 85.43, 'timestamp': '2025-08-31 11:44:34', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 9.26, 'humidity': 66.56, 'timestamp': '2025-08-31 11:44:34', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:39: {'zone1': {'temperature': 14.44, 'humidity': 58.66, 'timestamp': '2025-08-31 11:44:39', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 4.18, 'humidity': 51.88, 'timestamp': '2025-08-31 11:44:39', 'status': 'Within Range'}, 'zone3': {'temperature': 4.06, 'humidity': 86.2, 'timestamp': '2025-08-31 11:44:39', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.43, 'humidity': 66.03, 'timestamp': '2025-08-31 11:44:39', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:44: {'zone1': {'temperature': 14.29, 'humidity': 58.06, 'timestamp': '2025-08-31 11:44:44', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 3.36, 'humidity': 50.93, 'timestamp': '2025-08-31 11:44:44', 'status': 'Within Range'}, 'zone3': {'temperature': 4.3, 'humidity': 85.76, 'timestamp': '2025-08-31 11:44:44', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 7.73, 'humidity': 65.55, 'timestamp': '2025-08-31 11:44:44', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:49: {'zone1': {'temperature': 13.64, 'humidity': 58.93, 'timestamp': '2025-08-31 11:44:49', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 2.78, 'humidity': 50.26, 'timestamp': '2025-08-31 11:44:49', 'status': 'Within Range'}, 'zone3': {'temperature': 4.81, 'humidity': 85.73, 'timestamp': '2025-08-31 11:44:49', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.01, 'humidity': 64.68, 'timestamp': '2025-08-31 11:44:49', 'status': 'Within Range'}}
✅ Pushed at 2025-08-31 11:44:54: {'zone1': {'temperature': 13.72, 'humidity': 58.51, 'timestamp': '2025-08-31 11:44:54', 'status': '⚠ Out of Range'}, 'zone2': {'temperature': 1.79, 'humidity': 50.69, 'timestamp': '2025-08-31 11:44:54', 'status': 'Within Range'}, 'zone3': {'temperature': 4.68, 'humidity': 86.01, 'timestamp': '2025-08-31 11:44:54', 'status': '⚠ Out of Range'}, 'zone4': {'temperature': 8.24, 'humidity': 64.22, 'timestamp': '2025-08-31 11:44:54', 'status': 'Within Range'}}
